EmpID,Work_Date,Clock_In,Clock_In_Exception,Clock_Out,Clock_Out_Exception,Clock_In_Datetime,Clock_Out_Datetime,Hours_Worked,Hours_Status,Payroll_Calculation_Status
1016,2025-01-01,09:53,No Exception,19:08,No Exception,2025-01-01 09:53:00,2025-01-01 19:08:00,9.25,Valid,Ready for Payroll Calculation
1016,2025-01-02,09:07,No Exception,18:01,No Exception,2025-01-02 09:07:00,2025-01-02 18:01:00,8.9,Valid,Ready for Payroll Calculation
1016,2025-01-03,08:09,No Exception,16:42,No Exception,2025-01-03 08:09:00,2025-01-03 16:42:00,8.55,Valid,Ready for Payroll Calculation
1016,2025-01-06,08:43,No Exception,17:26,No Exception,2025-01-06 08:43:00,2025-01-06 17:26:00,8.72,Valid,Ready for Payroll Calculation
1016,2025-01-07,08:10,No Exception,15:42,No Exception,2025-01-07 08:10:00,2025-01-07 15:42:00,7.53,Valid,Ready for Payroll Calculation
1016,2025-01-08,07:41,No Exception,15:26,No Exception,2025-01-08 07:41:00,2025-01-08 15:26:00,7.75,Valid,Ready for Payroll Calculation
1016,2025-01-09,06:19,No Exception,15:32,No Exception,2025-01-09 06:19:00,2025-01-09 15:32:00,9.22,Valid,Ready for Payroll Calculation
1016,2025-01-10,07:27,No Exception,17:02,No Exception,2025-01-10 07:27:00,2025-01-10 17:02:00,9.58,Valid,Ready for Payroll Calculation
1016,2025-01-12,09:40,No Exception,18:11,No Exception,2025-01-12 09:40:00,2025-01-12 18:11:00,8.52,Valid,Ready for Payroll Calculation
1016,2025-01-13,08:44,No Exception,17:44,No Exception,2025-01-13 08:44:00,2025-01-13 17:44:00,9.0,Valid,Ready for Payroll Calculation
1016,2025-01-14,07:33,No Exception,16:31,No Exception,2025-01-14 07:33:00,2025-01-14 16:31:00,8.97,Valid,Ready for Payroll Calculation
1016,2025-01-15,07:25,No Exception,15:22,No Exception,2025-01-15 07:25:00,2025-01-15 15:22:00,7.95,Valid,Ready for Payroll Calculation
1016,2025-01-16,09:44,No Exception,17:31,No Exception,2025-01-16 09:44:00,2025-01-16 17:31:00,7.78,Valid,Ready for Payroll Calculation
1016,2025-01-17,08:05,No Exception,17:44,No Exception,2025-01-17 08:05:00,2025-01-17 17:44:00,9.65,Valid,Ready for Payroll Calculation
1016,2025-01-20,07:47,No Exception,17:41,No Exception,2025-01-20 07:47:00,2025-01-20 17:41:00,9.9,Valid,Ready for Payroll Calculation
1016,2025-01-21,06:51,No Exception,15:45,No Exception,2025-01-21 06:51:00,2025-01-21 15:45:00,8.9,Valid,Ready for Payroll Calculation
1016,2025-01-22,06:06,No Exception,15:15,No Exception,2025-01-22 06:06:00,2025-01-22 15:15:00,9.15,Valid,Ready for Payroll Calculation
1016,2025-01-23,08:42,No Exception,17:48,No Exception,2025-01-23 08:42:00,2025-01-23 17:48:00,9.1,Valid,Ready for Payroll Calculation
1016,2025-01-24,07:01,No Exception,16:45,No Exception,2025-01-24 07:01:00,2025-01-24 16:45:00,9.73,Valid,Ready for Payroll Calculation
1016,2025-01-25,09:57,No Exception,18:47,No Exception,2025-01-25 09:57:00,2025-01-25 18:47:00,8.83,Valid,Ready for Payroll Calculation
1016,2025-01-26,07:29,No Exception,15:47,No Exception,2025-01-26 07:29:00,2025-01-26 15:47:00,8.3,Valid,Ready for Payroll Calculation
1016,2025-01-27,06:08,No Exception,14:29,No Exception,2025-01-27 06:08:00,2025-01-27 14:29:00,8.35,Valid,Ready for Payroll Calculation
1016,2025-01-28,07:14,No Exception,17:01,No Exception,2025-01-28 07:14:00,2025-01-28 17:01:00,9.78,Valid,Ready for Payroll Calculation
1016,2025-01-29,08:54,No Exception,18:35,No Exception,2025-01-29 08:54:00,2025-01-29 18:35:00,9.68,Valid,Ready for Payroll Calculation
1016,2025-01-30,07:53,No Exception,16:22,No Exception,2025-01-30 07:53:00,2025-01-30 16:22:00,8.48,Valid,Ready for Payroll Calculation
1016,2025-01-31,06:58,No Exception,16:20,No Exception,2025-01-31 06:58:00,2025-01-31 16:20:00,9.37,Valid,Ready for Payroll Calculation
1016,2025-02-03,09:03,No Exception,16:40,No Exception,2025-02-03 09:03:00,2025-02-03 16:40:00,7.62,Valid,Ready for Payroll Calculation
1016,2025-02-04,08:11,No Exception,17:25,No Exception,2025-02-04 08:11:00,2025-02-04 17:25:00,9.23,Valid,Ready for Payroll Calculation
1016,2025-02-05,09:32,No Exception,17:10,No Exception,2025-02-05 09:32:00,2025-02-05 17:10:00,7.63,Valid,Ready for Payroll Calculation
1016,2025-02-06,06:52,No Exception,15:12,No Exception,2025-02-06 06:52:00,2025-02-06 15:12:00,8.33,Valid,Ready for Payroll Calculation
1016,2025-02-07,09:52,No Exception,18:10,No Exception,2025-02-07 09:52:00,2025-02-07 18:10:00,8.3,Valid,Ready for Payroll Calculation
1016,2025-02-10,09:02,No Exception,18:55,No Exception,2025-02-10 09:02:00,2025-02-10 18:55:00,9.88,Valid,Ready for Payroll Calculation
1016,2025-02-11,07:56,No Exception,17:50,No Exception,2025-02-11 07:56:00,2025-02-11 17:50:00,9.9,Valid,Ready for Payroll Calculation
1016,2025-02-12,09:34,No Exception,18:30,No Exception,2025-02-12 09:34:00,2025-02-12 18:30:00,8.93,Valid,Ready for Payroll Calculation
1016,2025-02-13,06:20,No Exception,16:00,No Exception,2025-02-13 06:20:00,2025-02-13 16:00:00,9.67,Valid,Ready for Payroll Calculation
1016,2025-02-14,07:26,No Exception,16:05,No Exception,2025-02-14 07:26:00,2025-02-14 16:05:00,8.65,Valid,Ready for Payroll Calculation
1016,2025-02-17,09:38,No Exception,19:16,No Exception,2025-02-17 09:38:00,2025-02-17 19:16:00,9.63,Valid,Ready for Payroll Calculation
1016,2025-02-18,06:36,No Exception,15:23,No Exception,2025-02-18 06:36:00,2025-02-18 15:23:00,8.78,Valid,Ready for Payroll Calculation
1016,2025-02-19,08:53,No Exception,18:33,No Exception,2025-02-19 08:53:00,2025-02-19 18:33:00,9.67,Valid,Ready for Payroll Calculation
1016,2025-02-20,07:48,No Exception,16:36,No Exception,2025-02-20 07:48:00,2025-02-20 16:36:00,8.8,Valid,Ready for Payroll Calculation
1016,2025-02-21,08:12,No Exception,17:27,No Exception,2025-02-21 08:12:00,2025-02-21 17:27:00,9.25,Valid,Ready for Payroll Calculation
1016,2025-02-24,09:12,No Exception,17:29,No Exception,2025-02-24 09:12:00,2025-02-24 17:29:00,8.28,Valid,Ready for Payroll Calculation
1016,2025-02-25,07:37,No Exception,16:22,No Exception,2025-02-25 07:37:00,2025-02-25 16:22:00,8.75,Valid,Ready for Payroll Calculation
1016,2025-02-26,06:14,No Exception,15:41,No Exception,2025-02-26 06:14:00,2025-02-26 15:41:00,9.45,Valid,Ready for Payroll Calculation
1016,2025-02-27,08:54,No Exception,17:43,No Exception,2025-02-27 08:54:00,2025-02-27 17:43:00,8.82,Valid,Ready for Payroll Calculation
1016,2025-02-28,06:39,No Exception,16:05,No Exception,2025-02-28 06:39:00,2025-02-28 16:05:00,9.43,Valid,Ready for Payroll Calculation
1022,2025-01-01,06:05,No Exception,14:53,No Exception,2025-01-01 06:05:00,2025-01-01 14:53:00,8.8,Valid,Ready for Payroll Calculation
1022,2025-01-02,08:18,No Exception,16:08,No Exception,2025-01-02 08:18:00,2025-01-02 16:08:00,7.83,Valid,Ready for Payroll Calculation
1022,2025-01-03,08:28,No Exception,16:49,No Exception,2025-01-03 08:28:00,2025-01-03 16:49:00,8.35,Valid,Ready for Payroll Calculation
1022,2025-01-05,07:40,No Exception,16:19,No Exception,2025-01-05 07:40:00,2025-01-05 16:19:00,8.65,Valid,Ready for Payroll Calculation
1022,2025-01-06,09:36,No Exception,18:22,No Exception,2025-01-06 09:36:00,2025-01-06 18:22:00,8.77,Valid,Ready for Payroll Calculation
1022,2025-01-07,07:55,No Exception,17:11,No Exception,2025-01-07 07:55:00,2025-01-07 17:11:00,9.27,Valid,Ready for Payroll Calculation
1022,2025-01-08,07:34,No Exception,15:08,No Exception,2025-01-08 07:34:00,2025-01-08 15:08:00,7.57,Valid,Ready for Payroll Calculation
1022,2025-01-09,08:10,No Exception,17:46,No Exception,2025-01-09 08:10:00,2025-01-09 17:46:00,9.6,Valid,Ready for Payroll Calculation
1022,2025-01-10,07:14,No Exception,15:48,No Exception,2025-01-10 07:14:00,2025-01-10 15:48:00,8.57,Valid,Ready for Payroll Calculation
1022,2025-01-12,08:29,No Exception,18:26,No Exception,2025-01-12 08:29:00,2025-01-12 18:26:00,9.95,Valid,Ready for Payroll Calculation
1022,2025-01-13,06:57,No Exception,16:05,No Exception,2025-01-13 06:57:00,2025-01-13 16:05:00,9.13,Valid,Ready for Payroll Calculation
1022,2025-01-14,09:04,No Exception,17:44,No Exception,2025-01-14 09:04:00,2025-01-14 17:44:00,8.67,Valid,Ready for Payroll Calculation
1022,2025-01-15,09:04,No Exception,17:18,No Exception,2025-01-15 09:04:00,2025-01-15 17:18:00,8.23,Valid,Ready for Payroll Calculation
1022,2025-01-16,06:53,No Exception,15:32,No Exception,2025-01-16 06:53:00,2025-01-16 15:32:00,8.65,Valid,Ready for Payroll Calculation
1022,2025-01-17,09:33,No Exception,18:58,No Exception,2025-01-17 09:33:00,2025-01-17 18:58:00,9.42,Valid,Ready for Payroll Calculation
1022,2025-01-20,09:24,No Exception,17:34,No Exception,2025-01-20 09:24:00,2025-01-20 17:34:00,8.17,Valid,Ready for Payroll Calculation
1022,2025-01-21,07:13,No Exception,14:53,No Exception,2025-01-21 07:13:00,2025-01-21 14:53:00,7.67,Valid,Ready for Payroll Calculation
1022,2025-01-22,08:25,No Exception,18:01,No Exception,2025-01-22 08:25:00,2025-01-22 18:01:00,9.6,Valid,Ready for Payroll Calculation
1022,2025-01-23,07:31,No Exception,16:29,No Exception,2025-01-23 07:31:00,2025-01-23 16:29:00,8.97,Valid,Ready for Payroll Calculation
1022,2025-01-24,07:24,No Exception,16:45,No Exception,2025-01-24 07:24:00,2025-01-24 16:45:00,9.35,Valid,Ready for Payroll Calculation
